date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:48	6488/6488	---M--	200	added ('OK')	text/css	etag:%227a9e5-1958-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_static/basic.css	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_static/basic.css	(from http://pylonsbook.com/en/1.0/index.html)
16:41:48	368/368	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jun%202009%2015:41:50%20GMT	http://pylonsbook.com/en/1.0/minus.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/minus.21.delayed	(from http://pylonsbook.com/en/1.0/index.html)
16:41:49	19098/19098	---M--	200	added ('OK')	image/jpeg	etag:%2274fa6-4a9a-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/james.jpg	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/james.jpg	(from http://pylonsbook.com/en/1.0/index.html)
16:41:49	7331/7331	---M--	200	added ('OK')	text/plain	etag:%2250c6a-1ca3-466d82a91a600%22	http://pylonsbook.com/en/1.0/_sources/front-matter.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/front-matter.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:41:51	25285/25285	---M--	200	added ('OK')	text/plain	etag:%2250c6e-62c5-466d82ab02a80%22	http://pylonsbook.com/en/1.0/_sources/introducing-pylons.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/introducing-pylons.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:41:52	8509/8509	---M--	200	added ('OK')	image/png	etag:%2274f7a-213d-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0203.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0203.png	(from http://pylonsbook.com/en/1.0/index.html)
16:41:54	14627/14627	---M--	200	added ('OK')	image/png	etag:%2274f8a-3923-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0204.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0204.png	(from http://pylonsbook.com/en/1.0/index.html)
16:41:56	46237/46237	---M--	200	added ('OK')	image/png	etag:%2274f95-b49d-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0201.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0201.png	(from http://pylonsbook.com/en/1.0/index.html)
16:41:56	44080/44080	---M--	200	added ('OK')	image/png	etag:%2274fb3-ac30-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0202.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0202.png	(from http://pylonsbook.com/en/1.0/index.html)
16:41:59	45900/45900	---M--	200	added ('OK')	text/plain	etag:%2250c6c-b34c-466d82aa0e840%22	http://pylonsbook.com/en/1.0/_sources/installing-pylons.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/installing-pylons.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:42:03	48837/48837	---M--	200	added ('OK')	image/png	etag:%2274fb6-bec5-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0301.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0301.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:04	43373/43373	---M--	200	added ('OK')	image/png	etag:%2274fb8-a96d-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0303.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0303.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:05	53544/53544	---M--	200	added ('OK')	image/png	etag:%2274fa9-d128-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0302.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0302.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:08	23028/23028	---M--	200	added ('OK')	image/png	etag:%2274f91-59f4-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0402.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0402.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:08	19621/19621	---M--	200	added ('OK')	image/png	etag:%2274f9d-4ca5-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0403.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0403.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:10	42882/42882	---M--	200	added ('OK')	image/png	etag:%2274fad-a782-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0401.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0401.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:12	11665/11665	---M--	200	added ('OK')	text/plain	etag:%2250c78-2d91-466d82afc75c0%22	http://pylonsbook.com/en/1.0/_sources/tracking-down-problems-and-handling-errors.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/tracking-down-problems-and-handling-errors.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:42:12	83226/83226	---M--	200	added ('OK')	text/plain	etag:%2250c69-1451a-466d82a91a600%22	http://pylonsbook.com/en/1.0/_sources/exploring-pylons.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/exploring-pylons.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:42:14	39241/39241	---M--	200	added ('OK')	image/png	etag:%2274f9c-9949-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0404.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0404.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:16	26972/26972	---M--	200	added ('OK')	image/png	etag:%2274f77-695c-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0501.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0501.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:18	34345/34345	---M--	200	added ('OK')	image/png	etag:%2274fa1-8629-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0502.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0502.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:27	79579/79579	---M--	200	added ('OK')	text/plain	etag:%2250c7b-136db-466d82b1afa40%22	http://pylonsbook.com/en/1.0/_sources/using-view-templates.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/using-view-templates.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:42:28	70001/70001	---M--	200	added ('OK')	image/png	etag:%2274f89-11171-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0601.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0601.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:29	16029/16029	---M--	200	added ('OK')	image/png	etag:%2274fb4-3e9d-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0603.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0603.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:30	74194/74194	---M--	200	added ('OK')	image/png	etag:%2274fb5-121d2-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0602.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0602.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:30	139156/139156	---M--	200	added ('OK')	image/png	etag:%2274fac-21f94-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0405.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0405.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:32	26515/26515	---M--	200	added ('OK')	image/png	etag:%2274fa5-6793-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0604.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0604.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:34	7357/7357	---M--	200	added ('OK')	image/png	etag:%2274faa-1cbd-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0701.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0701.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:35	33171/33171	---M--	200	added ('OK')	image/png	etag:%2274f78-8193-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0605.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0605.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:35	9902/9902	---M--	200	added ('OK')	image/png	etag:%2274fb9-26ae-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0702.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0702.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:38	53111/53111	---M--	200	added ('OK')	image/png	etag:%2274fa7-cf77-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0606.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0606.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:42	43016/43016	---M--	200	added ('OK')	image/png	etag:%2274fb0-a808-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0801.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0801.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:43	27698/27698	---M--	200	added ('OK')	image/png	etag:%2274fa0-6c32-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0802.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0802.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:46	97620/97620	---M--	200	added ('OK')	text/plain	etag:%2250c7c-17d54-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_sources/working-with-forms-and-validators.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/working-with-forms-and-validators.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:42:47	27987/27987	---M--	200	added ('OK')	image/png	etag:%2274f9f-6d53-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0803.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0803.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:50	42944/42944	---M--	200	added ('OK')	image/png	etag:%2274f94-a7c0-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0804.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0804.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:52	36647/36647	---M--	200	added ('OK')	image/png	etag:%2274fa3-8f27-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0805.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0805.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:53	34779/34779	---M--	200	added ('OK')	image/png	etag:%2274fae-87db-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f0806.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f0806.png	(from http://pylonsbook.com/en/1.0/index.html)
16:42:53	116174/116174	---M--	200	added ('OK')	text/plain	etag:%2250c6f-1c5ce-466d82abf6cc0%22	http://pylonsbook.com/en/1.0/_sources/introducing-the-model-and-sqlalchemy.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/introducing-the-model-and-sqlalchemy.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:42:59	31594/31594	---M--	200	added ('OK')	text/plain	etag:%2250c79-7b6a-466d82b0bb800%22	http://pylonsbook.com/en/1.0/_sources/unicode.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/unicode.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:43:01	72837/72837	---M--	200	added ('OK')	text/plain	etag:%2250c75-11c85-466d82aed3380%22	http://pylonsbook.com/en/1.0/_sources/starting-the-simplesite-tutorial.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/starting-the-simplesite-tutorial.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:43:02	70882/70882	---M--	200	added ('OK')	text/plain	etag:%2250c7a-114e2-466d82b0bb800%22	http://pylonsbook.com/en/1.0/_sources/urls-routing-and-dispatch.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/urls-routing-and-dispatch.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:43:02	45110/45110	---M--	200	added ('OK')	text/plain	etag:%2250c6d-b036-466d82aa0e840%22	http://pylonsbook.com/en/1.0/_sources/internationalization-and-localization.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/internationalization-and-localization.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:43:06	29953/29953	---M--	200	added ('OK')	image/png	etag:%2274fb2-7501-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1301.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1301.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:06	48921/48921	---M--	200	added ('OK')	text/plain	etag:%2250c76-bf19-466d82afc75c0%22	http://pylonsbook.com/en/1.0/_sources/testing.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/testing.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:43:13	68657/68657	---M--	200	added ('OK')	image/png	etag:%2274fa2-10c31-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1302.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1302.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:15	54632/54632	---M--	200	added ('OK')	image/png	etag:%2274fb1-d568-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1304.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1304.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:17	89318/89318	---M--	200	added ('OK')	image/png	etag:%2274f76-15ce6-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1303.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1303.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:19	75892/75892	---M--	200	added ('OK')	image/png	etag:%2274f75-12874-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1305.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1305.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:19	34684/34684	---M--	200	added ('OK')	text/plain	etag:%2250c68-877c-466d82a91a600%22	http://pylonsbook.com/en/1.0/_sources/documentation.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/documentation.txt	(from http://pylonsbook.com/en/1.0/index.html)
16:43:20	36587/36587	---M--	200	added ('OK')	image/png	etag:%2274f8e-8eeb-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1401.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1401.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:23	35927/35927	---M--	200	added ('OK')	image/png	etag:%2274f9b-8c57-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1402.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1402.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:24	31624/31624	---M--	200	added ('OK')	image/png	etag:%2274f90-7b88-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1404.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1404.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:24	33765/33765	---M--	200	added ('OK')	image/png	etag:%2274f8f-83e5-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1403.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1403.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:27	43777/43777	---M--	200	added ('OK')	image/png	etag:%2274fba-ab01-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1405.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1405.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:28	36481/36481	---M--	200	added ('OK')	image/png	etag:%2274f9e-8e81-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1406.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1406.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:33	51657/51657	---M--	200	added ('OK')	image/png	etag:%2274fbb-c9c9-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1407.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1407.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:33	54210/54210	---M--	200	added ('OK')	image/png	etag:%2274faf-d3c2-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1408.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1408.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:37	49592/49592	---M--	200	added ('OK')	image/png	etag:%2274f8b-c1b8-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1501.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1501.png	(from http://pylonsbook.com/en/1.0/index.html)
16:43:38	25655/25655	---M--	200	added ('OK')	image/png	etag:%2274fb7-6437-466d82b2a3c80%22	http://pylonsbook.com/en/1.0/_images/9349f1503.png	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_images/9349f1503.png	(from http://pylonsbook.com/en/1.0/index.html)
